漢字,読み
往事渺茫,おうじびょうぼう
屋梁落月,おくりょうらくげつ
小草生月,おぐさおいづき
温故知新,おんこちしん
岡目八目,おかめはちもく
開源節流,かいげんせつりゅう
感恩報謝,かんおんほうしゃ
感恩戴徳,かんおんたいとく
呵呵大笑,かかたいしょう
火牛之計,かぎゅうのけい
頑廉懦立,がんれんだりつ
冠履倒易,かんりとうえき
感奮興起,かんぷんこうき
勧百諷一,かんぴゃくふういつ
銜尾相随,かんびそうずい
汗馬之労,かんばのろう
甘棠之愛,かんとうのあい
管中窺豹,かんちゅうきひょう
奸智術数,かんちじゅっすう
邯鄲之歩,かんたんのほ
干戚羽旄,かんせきうぼう
坎井之蛙,かんせいのあ
甘井先竭,かんせいせんけつ
玩人喪徳,がんじんそうとく
顔常山舌,がんじょうざんのした
含沙射影,がんしゃせきえい
岸芷汀蘭,がんしていらん
寒山拾得,かんざんじっとく
翫歳愒日,がんさいかいじつ
寒江独釣,かんこうどくちょう
歓欣鼓舞,かんきんこぶ
管窺蠡測,かんきれいそく
歓喜抃舞,かんきべんぶ
官官接待,かんかんせったい
寒巌枯木,かんがんこぼく
緩歌慢舞,かんかまんぶ
頷下之珠,がんかのしゅ
含牙戴角,がんがたいかく
干戈倥偬,かんかこうそう
韓海蘇潮,かんかいそちょう
含英咀華,がんえいしょか
含飴弄孫,がんいろうそん
銜哀致誠,がんあいちせい
河梁之吟,かりょうのぎん
下陵上替,かりょうじょうたい
烏之雌雄,からすのしゆう
瓜剖豆分,かぼうとうぶん
瓦釜雷鳴,がふらいめい
禍福無門,かふくむもん
禍福糾纆,かふくきゅうぼく
家貧孝子,かひんこうし
過庭之訓,かていのおしえ
華亭鶴唳,かていかくれい
刮目相待,かつもくそうたい
活剥生呑,かっぱくせいどん
豁達大度,かったつたいど
割鶏牛刀,かっけいぎゅうとう
活計歓楽,かっけいかんらく
恪勤精励,かっきんせいれい
渇驥奔泉,かっきほんせん
軻親断機,かしんだんき
雅人深致,がじんしんち
禾黍油油,かしょゆうゆう
家書万金,かしょばんきん
華胥之夢,かしょのゆめ
家常茶飯,かじょうさはん
和氏之璧,かしのへき
歌功頌徳,かこうしょうとく
夏侯拾芥,かこうしゅうかい
家鶏野雉,かけいやち
鶴翼之囲,かくよくのかこみ
鶴鳴之士,かくめいのし
廓然大悟,かくねんたいご
格致日新,かくちにっしん
革故鼎新,かくこていしん
赫赫明明,かくかくめいめい
諤諤之臣,がくがくのしん
河魚腹疾,かぎょのふくしつ
蝸牛角上,かぎゅうかくじょう
夏癸殷辛,かきいんしん
河漢之言,かかんのげん
下学之功,かがくのこう
花街柳巷,かがいりゅうこう
餓狼之口,がろうのくち
苛政猛虎,かせいもうこ
画虎類狗,がこるいく
檻猿籠鳥,かんえんろうちょう
頑迷固陋,がんめいころう
柯会之盟,かかいのめい
魁塁之士,かいるいのし
誨盗誨淫,かいとうかいいん
廻天之力,かいてんのちから
蓋天蓋地,がいてんがいち
喙長三尺,かいちょうさんじゃく
膾炙人口,かいしゃじんこう
亥豕之譌,がいしのか
睚眥之怨,がいさいのうらみ
開権顕実,かいごんけんじつ
開眼供養,かいげんくよう
荷衣蕙帯,かいけいたい
海角天涯,かいかくてんがい
蓋瓦級甎,がいがきゅうせん
誨淫誨盗,かいいんかいとう
瑰意琦行,かいいきこう
閑話休題,かんわきゅうだい
顔面蒼白,がんめんそうはく
感情移入,かんじょういにゅう
感謝感激,かんしゃかんげき
我武者羅,がむしゃら
過当競争,かとうきょうそう
勝手気儘,かってきまま
各個撃破,かっこげきは
過小評価,かしょうひょうか
蓋世不抜,がいせいふばつ
階前万里,かいぜんばんり
官尊民卑,かんそんみんぴ
改弦易轍,かいげんえきてつ
眼中之釘,がんちゅうのくぎ
歓天喜地,かんてんきち
肝胆相照,かんたんあいてらす
簡単明瞭,かんたんめいりょう
完全燃焼,かんぜんねんしょう
勧善懲悪,かんぜんちょうあく
韓信匍匐,かんしんほふく
寛仁大度,かんじんたいど
頑執妄排,がんしゅうもうはい
寒山枯木,かんざんこぼく
換骨奪胎,かんこつだったい
開宗明義,かいそうめいぎ
蓋世之才,がいせいのさい
海誓山盟,かいせいさんめい
開心見誠,かいしんけんせい
回心転意,かいしんてんい
下意上達,かいじょうたつ
外柔内剛,がいじゅうないごう
海市蜃楼,かいししんろう
鎧袖一触,がいしゅういっしょく
回山倒海,かいざんとうかい
眼高手低,がんこうしゅてい
眼光紙背,がんこうしはい
眼光炯炯,がんこうけいけい
顔厚忸怩,がんこうじくじ
頑固一徹,がんこいってつ
甘言蜜語,かんげんみつご
汗牛充棟,かんぎゅうじゅうとう
緩急剛柔,かんきゅうごうじゅう
侃々諤々,かんかんがくがく
轗軻不遇,かんかふぐう
閑花素琴,かんかそきん
戒驕戒躁,かいきょうかいそう
間不容髪,かんふようはつ
管鮑之交,かんぽうのまじわり
含哺鼓腹,がんぽこふく
玩物喪志,がんぶつそうし
開巻有益,かいかんゆうえき
開巻劈頭,かいかんへきとう
蓋棺事定,がいかんじてい
肝脳塗地,かんのうとち
汗馬刀槍,かんばとうそう
奸佞邪知,かんねいじゃち
艱難辛苦,かんなんしんく
環堵蕭然,かんとしょうぜん
撼天動地,かんてんどうち
外寛内明,がいかんないめい
海闊天空,かいかつてんくう
改過自新,かいかじしん
海外奇談,かいがいきだん
海翁好鴎,かいおうこうおう
改易蟄居,かいえきちっきょ
解衣推食,かいいすいしょく
格物致知,かくぶつちち
改邪帰正,かいじゃきせい
外巧内嫉,がいこうないしつ
会稽之恥,かいけいのはじ
開天闢地,かいてんへきち
凱風寒泉,がいふうかんせん
和気香風,かきこうふう
磑風舂雨,がいふうしょうう
鶴寿千歳,かくじゅせんざい
鶴立企佇,かくりつきちょ
花言巧語,かげんこうご
花鳥月露,かちょうげつろ
花天月地,かてんげっち
寒花晩節,かんかばんせつ
関関雎鳩,かんかんしょきゅう
寡廉鮮恥,かれんせんち
苛斂誅求,かれんちゅうきゅう
華麗奔放,かれいほんぽう
